source,line,kind,token,target,status,semantics
.agents/skills/archify/renderers/shared/diagnostics.mjs,1,import-export,node:fs,,external-module,lexical-reference-candidate
.agents/skills/archify/renderers/shared/diagnostics.mjs,2,import-export,node:path,,external-module,lexical-reference-candidate
.agents/skills/archify/renderers/shared/geometry.mjs,5,import-export,./diagnostics.mjs,.agents/skills/archify/renderers/shared/diagnostics.mjs,resolved-file,lexical-reference-candidate
.agents/skills/archify/scripts/check-render-output.mjs,3,import-export,node:fs,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-render-output.mjs,4,import-export,node:path,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-render-output.mjs,5,import-export,../renderers/shared/geometry.mjs,.agents/skills/archify/renderers/shared/geometry.mjs,resolved-file,lexical-reference-candidate
.agents/skills/archify/scripts/check-render-output.mjs,6,import-export,../renderers/shared/desktop-readability.mjs,.agents/skills/archify/renderers/shared/desktop-readability.mjs,resolved-file,lexical-reference-candidate
.agents/skills/archify/scripts/check-render-output.mjs,16,scripts-literal,scripts/check-render-output.mjs,,unresolved-literal,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,3,import-export,node:crypto,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,4,import-export,node:fs,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,5,import-export,node:fs/promises,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,6,import-export,node:os,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,7,import-export,node:path,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,8,import-export,node:perf_hooks,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,9,import-export,node:url,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/check-update.mjs,11,import-export,./update-contract.mjs,.agents/skills/archify/scripts/update-contract.mjs,resolved-file,lexical-reference-candidate
.agents/skills/archify/scripts/generate-brand-marks.mjs,3,import-export,node:fs,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-brand-marks.mjs,4,import-export,node:path,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-brand-marks.mjs,5,import-export,node:url,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-brand-marks.mjs,6,import-export,simple-icons,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-brand-marks.mjs,125,scripts-literal,scripts/generate-brand-marks.mjs,,unresolved-literal,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,3,import-export,node:fs,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,4,import-export,node:path,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,5,import-export,node:url,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,6,import-export,ajv/dist/2020.js,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,7,import-export,ajv/dist/standalone/index.js,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,29,scripts-literal,scripts/generate-validators.mjs.,,unresolved-literal,lexical-reference-candidate
.agents/skills/archify/scripts/generate-validators.mjs,30,require-import-call,ajv/dist/runtime/ucs2length,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/render-examples.mjs,4,import-export,node:child_process,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/render-examples.mjs,5,import-export,node:path,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/render-examples.mjs,6,import-export,node:url,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/yss-safe-deliver.mjs,3,import-export,node:child_process,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/yss-safe-deliver.mjs,4,import-export,node:fs,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/yss-safe-deliver.mjs,5,import-export,node:os,,external-module,lexical-reference-candidate
.agents/skills/archify/scripts/yss-safe-deliver.mjs,6,import-export,node:path,,external-module,lexical-reference-candidate
