repo,path,sha256,size_bytes,lines,language,category,role,inventory_scope,origin,executable_mode,shebang,static_flags,measurement_status
.,.agents/skills/archify/scripts/check-render-output.mjs,5b86f60bd6607c580e1d2daaf181a129d81c3293310b3c7f38eda6435b8520b5,32413,835,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/archify/scripts/check-update.mjs,7c7f47b35a55754fd85468c5e1cfc467bb2e1b9dd5c683dd60172844882b1970,56369,1667,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": true, ""loop"": true}",static-only
.,.agents/skills/archify/scripts/generate-brand-marks.mjs,0434c31903b831382a91e85a329bcbcb39b32f29c656273a273f896b3b0a42e7,5136,141,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/archify/scripts/generate-validators.mjs,a5f5f67d3cd4675b16fa620043a5463f3c15aad89afb1b0c7cf42cf35e883f9a,2400,66,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/archify/scripts/render-examples.mjs,a173a053fb26c0ac3cd72eb9b4e50411e67ca8c50bec57f05d4ca8ba79db2c0b,1178,26,JS,skill-script,cli,active,scripts,True,,"{""process_spawn"": true, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/archify/scripts/update-contract.mjs,7c5d34c5fa2e08fcd0b42e33a0f3b4685fcecf3ac88f1ed820528df8fdc46cbc,6750,182,JS,skill-script,cli,active,scripts,True,,"{""process_spawn"": true, ""tree_io"": false, ""network"": true, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/archify/scripts/yss-safe-deliver.mjs,cda4979c8e9e973a7f32bb454439f515afc3f8bf87f642ecf2e54686454b7d49,8107,214,JS,skill-script,cli,active,scripts,True,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/diagnosing-bugs/scripts/hitl-loop.template.sh,18ae07e1cc49b32c71767e241a6e8de4be74ef21d5e3b7e39034d9c7335f2d80,1319,44,Shell,skill-script,cli,active,scripts,False,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": false, ""network"": true, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/llm-wiki/scripts/advise.mjs,c278dddfce2b19d143298dc9496a7f2d36d213ff0b62ceadfba0883a74cfd9e1,6813,196,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/llm-wiki/scripts/advise.test.mjs,1d5e4a4c8a0213e447cd7e04ee45b0ab4a7c9ce59ce2997192830b35386ed34d,3794,91,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": false}",static-only
