label,trace,samples,median_ms,min_ms,max_ms,exit_codes,success,timeout,argv,cwd
root-repository-mode,False,3,34.495,33.74,35.998,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template
root-verify-context-contract,False,3,46.267,46.224,52.767,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template
root-query-lifecycle-context,False,3,86.951,86.567,91.697,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/scripts/query-lifecycle-context', '--mode', 'route']",/Users/zhudaoming/Projects/yss-spec-project-template
yss-harness-design-agent-repository-mode,False,3,31.789,31.105,34.701,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent
yss-harness-design-agent-verify-context-contract,False,3,35.952,35.939,38.726,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent
yss-harness-design-agent-query-lifecycle-context,False,3,68.788,68.25,73.116,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent/scripts/query-lifecycle-context', '--mode', 'route']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-design-agent
yss-harness-dev-agent-repository-mode,False,3,33.873,33.18,33.915,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-dev-agent/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-dev-agent
yss-harness-dev-agent-verify-context-contract,False,3,48.989,48.201,58.69,"1,1,1",False,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-dev-agent/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-dev-agent', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-dev-agent
yss-harness-backend-agent-repository-mode,False,3,33.654,32.495,34.803,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-backend-agent/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-backend-agent
yss-harness-backend-agent-verify-context-contract,False,3,39.64,37.07,41.079,"1,1,1",False,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-backend-agent/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-backend-agent', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-backend-agent
yss-harness-frontend-agent-repository-mode,False,3,32.656,30.988,35.544,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-frontend-agent/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-frontend-agent
yss-harness-frontend-agent-verify-context-contract,False,3,40.106,39.973,42.383,"1,1,1",False,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-frontend-agent/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-frontend-agent', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/yss-harness-frontend-agent
create-yss-spec-template-repository-mode,False,3,32.385,31.454,36.229,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template
create-yss-spec-template-verify-context-contract,False,3,80.886,80.646,270.226,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template
create-yss-spec-template-query-lifecycle-context,False,3,88.309,87.037,95.563,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template/scripts/query-lifecycle-context', '--mode', 'route']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-spec/template
create-yss-strategic-design-template-repository-mode,False,3,32.933,32.198,33.292,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template/scripts/repository-mode']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template
create-yss-strategic-design-template-verify-context-contract,False,3,42.11,41.451,85.889,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template
create-yss-strategic-design-template-query-lifecycle-context,False,3,70.021,69.867,73.382,"0,0,0",True,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template/scripts/query-lifecycle-context', '--mode', 'route']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-strategic-design/template
